layout,error_type,error,lost_rows,neg_control_mean,pos_control_mean,neg_stdev,pos_stdev,Zfactor_expected,SSMD_expected,Zfactor_raw,SSMD_raw,Zfactor_norm,SSMD_norm
PLAID,bowl-nl,0.05,0,99.37652466493132,33.16583976071469,4.228992227008918,5.5494914213848405,0.5569378116595642,-9.489586911743501,0.24677634739089527,-4.865556720818129,0.30852895352868526,-6.108886397090665
PLAID,bowl-nl,0.05,1,98.52002537348837,35.50769228603714,4.468069578587225,6.747426330868667,0.46603329729639387,-7.786340592417676,-0.17172473284221113,-3.6196350696704918,0.2250037990560112,-5.474201251864752
PLAID,bowl-nl,0.05,2,100.96227214226748,38.359819064557364,3.9970516331316372,6.875303924208481,0.4789810132275183,-7.8717998705486725,-1.4115662795830994,-1.6148161834346204,0.29181208012142734,-5.945204805032626
PLAID,bowl-nl,0.05,0,100.41748363491595,37.64191641131465,4.30291751213714,6.341235389205383,0.49132345407112255,-8.191700851700592,-0.07056102588257551,-3.7037968737544396,0.28309195545368715,-5.796840146070008
PLAID,bowl-nl,0.05,1,100.72187336447391,39.041945568251776,4.851904746450884,7.048994062241201,0.42116183170592114,-7.207778372162803,-0.43500863768438247,-2.956481436005176,0.17071454070655268,-5.116015989622776
PLAID,bowl-nl,0.05,2,96.84782393023768,36.14775907544801,2.2480074609414293,5.290778732696057,0.6274079997275676,-10.559187777214262,-0.21783719443591765,-3.4819414591953195,0.3915330842995667,-6.890984071510024
PLAID,bowl-nl,0.05,0,98.97530934448716,34.94032612490662,5.288685365472263,3.9492789911247788,0.5672069909855648,-9.70149099607169,-0.0520337882522699,-3.793156487952073,0.2055250786884455,-5.302196373716102
PLAID,bowl-nl,0.05,1,100.09314354287548,36.224211093162644,2.3160008153055966,3.1866032434662044,0.7415361186862983,-16.213156891604676,-1.1929932564450634,-1.6456806398341939,0.3289869829980546,-6.307796467990037
PLAID,bowl-nl,0.05,2,99.65119749083858,34.4651247102926,3.6147278634216264,4.980006436536992,0.6044522733148783,-10.593170529852324,-2.0679170825820896,-1.197333376220945,0.44501128231667586,-7.644256400669562
PLAID,bowl-nl,0.05,0,99.59561339307945,33.4124887945119,4.7965678546699015,3.698774449849162,0.6149165354742286,-10.926605773267434,-0.12148149298543065,-3.412575220574837,0.27122575260386306,-5.704034505083297
PLAID,bowl-nl,0.05,1,99.87427534782135,36.4166509168466,4.251814965688671,5.751668189888052,0.5270789013009198,-8.871972066759675,-0.22336677635971514,-3.4254111976882053,0.29993972042880956,-5.9691998098893615
PLAID,bowl-nl,0.05,2,100.64282429800471,35.93267747383275,3.355968444154138,3.4608296481799585,0.6839692802340667,-13.423184975291653,-0.3333649543770332,-3.1348679497044003,0.16016533771471542,-4.968106246186079
PLAID,bowl-nl,0.05,0,98.66229348561532,34.42200677783352,4.2148125536134335,7.253603615265803,0.4644287834028299,-7.657458624068456,-0.17818912821631372,-3.3312488270430514,0.09733226463259947,-4.690977616091209
